row.names.t.stat.desc.C...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
A10,8961,8707,0,0,33,33,395,0,0.0440799017966745,0.00494026437778892,0.00968404842460019,0.218704066829276,0.467658066143712,10.6093264068704
A11,8961,8740,0,0,12,12,309,0,0.0344827586206897,0.00306109089981964,0.00600043848649732,0.0839670566502463,0.289770696672811,8.40335020351152
A12,8961,8800,0,0,12,12,205,0,0.0228769110590336,0.00228253266297606,0.00447428622208369,0.0466864099590288,0.216070381956965,9.44491069617739
A13,8961,8786,0,0,4,4,228,0,0.0254435888851691,0.00214145512140296,0.00419774196458203,0.0410936229614042,0.202715620911177,7.96725736396956
A14,8961,8828,0,0,12,12,187,0,0.0208682066733624,0.00244784758027489,0.00479834128108585,0.0536939336330448,0.23171951500261,11.1039495932534
A15,8961,8823,0,0,8,8,191,0,0.0213145854257337,0.00220091298194336,0.00431429297413633,0.043407244886572,0.208344054118595,9.7747176385169
A16,8961,8860,0,0,15,15,148,0,0.0165160138377413,0.0024993513463342,0.00489930044570263,0.0559771908428587,0.23659499327513,14.3251873968813
A17,8961,8858,0,0,9,9,139,0,0.0155116616449057,0.0020299218044386,0.00397911114650373,0.0369245400704641,0.192157591758598,12.3879437392
A18,8961,8876,0,0,11,11,114,0,0.0127217944425845,0.00195397145597222,0.00383023108742824,0.0342131378832082,0.184967937446489,14.5394533987543
A19,8961,8889,0,0,8,8,107,0,0.0119406316259346,0.00177063338028953,0.00347084651461743,0.0280940125464314,0.167612686114242,14.0371708436423
A20,8961,8932,0,0,2,2,31,0,0.00345943533087825,0.000659227631673408,0.00129223697757184,0.00389428097151147,0.0624041743115913,18.0388324518119
A21,8961,8901,0,0,7,7,77,0,0.0085927909831492,0.001340783424563,0.00262824225941135,0.0161091914167743,0.126921989492658,14.7707525693988
I97,8961,8946,0,0,12,12,77,0,0.0085927909831492,0.00286781424927739,0.00562157203319358,0.07369847713106,0.271474634415556,31.5933012856857
I98,8961,8931,0,0,12,12,138,0,0.0154000669568129,0.00369443665758768,0.00724194106990478,0.122307454325888,0.349724826579253,22.7093055867876
I99,8961,8890,0,0,12,12,337,0,0.0376074098872894,0.00559378511716837,0.010965098587641,0.280393560587945,0.529522011429123,14.080257401829
I00,8961,8857,0,0,12,12,530,0,0.0591451846892088,0.00721588860555388,0.0141447925331437,0.466590742423518,0.683074477947696,11.5491139563949
I01,8961,8825,0,0,12,12,712,0,0.0794554179221069,0.00849885319229668,0.0166596966425114,0.647257560540118,0.804523188317228,10.1254667001555
I02,8961,8784,0,0,12,12,1028,0,0.114719339359447,0.0106238376983445,0.0208251524328152,1.01139157579671,1.00567965863724,8.76643523448275
I03,8961,8840,0,0,12,12,930,0,0.103783059926348,0.010679619693371,0.0209344979049898,1.02204037436032,1.01096012501004,9.74108997872581
I04,8961,8794,0,0,12,12,1055,0,0.117732395937953,0.0110449911590316,0.0216507095681415,1.09316878596936,1.04554712278757,8.88070878417003
I05,8961,8756,0,0,12,12,1470,0,0.164044191496485,0.0132616711301248,0.0259959094482166,1.57598828554689,1.25538372044045,7.65271667950124
I06,8961,8722,0,0,12,12,1724,0,0.192389242272068,0.0144187004595045,0.0282639516414181,1.86298224847354,1.3649110771305,7.09452909638423
