row.names.t.stat.desc.G.G.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
WW_98,1237,613,0,0,52,52,16472,1,13.3160873080032,0.504355592147896,0.989487744910194,314.661334840268,17.7386959735001,1.33212523793222
WW_99,1237,391,0,0,52,52,23695,12,19.1552142279709,0.550879453069545,1.08076221662137,375.390128534166,19.3749871879742,1.01147327079655
WW_00,1237,260,0,0,53,53,31309,24,25.3104284559418,0.569189770956988,1.11668495731683,400.759543262879,20.0189795759644,0.790937996597398
WW_01,1237,227,0,0,52,52,34549,30,27.9296685529507,0.565809496507192,1.11005324708187,396.013657899763,19.900091906817,0.712507270506603
WW_02,1237,217,0,0,52,52,36839,33,29.7809215844786,0.575036675326794,1.12815591215437,409.035299149995,20.2246211126437,0.679113339567858
WW_03,1237,222,0,0,52,52,38266,37,30.9345189975748,0.584937913448577,1.14758100415983,423.242472523304,20.5728576654607,0.665045338738694
WW_04,1237,236,0,0,52,52,39406,40,31.856103476152,0.594429346940979,1.16620210654984,437.089309400287,20.9066809752358,0.656284940525979
WW_05,1237,212,0,0,53,53,41881,44,33.8569118835893,0.599647882659422,1.17644027426359,444.797470391097,21.0902221512979,0.622922203413374
WW_06,1237,186,0,0,52,52,43410,46,35.0929668552951,0.574142363382117,1.12640137483355,407.764003892914,20.1931672575877,0.575419209805023
WW_07,1237,199,0,0,52,52,45250,49,36.5804365400162,0.571392026095807,1.12100552896301,403.866704340023,20.0964351152144,0.549376579834701
WW_08,1237,197,0,0,52,52,44876,50,36.2780921584479,0.573401434149786,1.12494775677785,406.712246195383,20.1671080275627,0.555903213969495
WW_09,1237,253,0,0,52,52,41564,47,33.6006467259499,0.615401028057238,1.207346136234,468.474692138042,21.6442761980631,0.644162488138872
WW_10,1237,278,0,0,52,52,41562,48,33.5990299110752,0.625768721089427,1.22768635919981,484.392490967551,22.0089184415671,0.655046246865369
WW_11,1237,273,0,0,53,53,42205,48,34.1188358932902,0.631198172900839,1.23833832006356,492.834572106542,22.1998777498108,0.650663399514652
WW_12,1237,321,0,0,52,52,41908,52,33.8787388843977,0.648210487728535,1.27171452783568,519.758746628366,22.7982180581809,0.672935853249255
WW_13,1237,279,0,0,52,52,43388,52,35.0751818916734,0.626823944647757,1.22975658662538,486.027514631128,22.0460317207231,0.628536490240031
WW_14,1237,278,0,0,52,52,44252,52,35.7736459175424,0.631462914501257,1.23885771267714,493.248075126951,22.2091889794957,0.620825426367986
WW_15,1237,251,0,0,52,52,45570,52,36.8391269199677,0.605205181084402,1.18734305549955,453.080085968506,21.2856779541669,0.5778008257473
WW_16,1237,254,0,0,53,53,47192,53,38.1503637833468,0.626355278860471,1.22883711817852,485.300997035839,22.0295482712615,0.577440057881642
WW_17,1237,233,0,0,52,52,47693,52,38.5553759094584,0.593347354971764,1.16407936257655,435.49956047751,20.8686262240117,0.541263720862653
WW_18,1237,222,0,0,52,52,45911,52,37.1147938561035,0.603310276574907,1.18362547048789,450.247329508441,21.2190322472171,0.571713595648268
WW_19,1237,229,0,0,52,52,42919,42,34.696038803557,0.545048411623038,1.06932238301745,367.48520274283,19.1699035663414,0.552509860704218
WW_20,1237,405,0,0,28,28,6693,4,5.410670978173,0.177028577361918,0.347309736474853,38.7664879798448,6.22627400455881,1.15073971965326
A97,1237,976,0,0,9,9,334,0,0.270008084074374,0.0178621821520018,0.0350435498523758,0.394674190873106,0.628231001203464,2.32671182182241
A98,1237,906,0,0,9,9,491,0,0.396928051738076,0.0248494527441852,0.0487517722434334,0.763841688184955,0.873980370594761,2.20186093365727
A99,1237,920,0,0,8,8,481,0,0.388843977364592,0.0240177238996745,0.0471200157772727,0.713564762854071,0.844727626430005,2.17240763803309
A00,1237,958,0,0,11,11,399,0,0.322554567502021,0.0229073318761755,0.0449415541593116,0.649110621008652,0.805674016590241,2.49779137474218
A01,1237,1004,0,0,11,11,335,0,0.270816491511722,0.0215232238979974,0.0422260932754396,0.573039219533635,0.756993539955022,2.79522689231153
A02,1237,1037,0,0,11,11,284,0,0.229587712206952,0.0189457505404261,0.0371693865791025,0.44401059039905,0.666341196684589,2.90233824048886
A03,1237,1066,0,0,30,30,295,0,0.238480194017785,0.0313497869078391,0.0615046812879522,1.21573490514948,1.10260369360413,4.62346023385869
A04,1237,1117,0,0,12,12,212,0,0.171382376717866,0.0215746773402498,0.0423270390195432,0.575782310789492,0.758803209527669,4.42754514238551
A05,1237,1123,0,0,13,13,187,0,0.151172190784155,0.0191847550260549,0.0376382859294619,0.455283819031847,0.67474722602753,4.46343485880243
A06,1237,1128,0,0,10,10,178,0,0.143896523848019,0.0169716033589487,0.0332963365462835,0.356299691549395,0.596908444863528,4.14817834997856
A07,1237,1145,0,0,11,11,136,0,0.109943411479386,0.015409471974377,0.0302316141856358,0.293727909416508,0.54196670508114,4.92950598665714
A08,1237,1150,0,0,13,13,128,0,0.103476151980598,0.0154879510576496,0.0303855811334382,0.296727388791653,0.544726893765723,5.26427474678281
A09,1237,1141,0,0,7,7,154,0,0.124494745351657,0.0152340276573052,0.0298874125858929,0.2870775155468,0.535796151112342,4.30376518783096
A10,1237,1152,0,0,6,6,117,0,0.0945836701697656,0.0114353359490124,0.0224348157463489,0.161758665526001,0.402192324051568,4.25223850300675
A11,1237,1160,0,0,6,6,100,0,0.0808407437348424,0.0104171748064161,0.0204373005237014,0.134236185781971,0.366382567519213,4.53215236021267
A12,1237,1188,0,0,4,4,62,0,0.0501212611156023,0.00796069444730501,0.015617968193903,0.0783919755751073,0.279985670303156,5.58616571233877
A13,1237,1176,0,0,4,4,73,0,0.0590137429264349,0.0081152778062922,0.0159212429898331,0.0814660168012704,0.28542252329007,4.83654330561392
A14,1237,1200,0,0,9,9,52,0,0.042037186742118,0.00942493342000857,0.0184906368857279,0.109881930654862,0.331484435011453,7.88550473286861
A15,1237,1188,0,0,8,8,70,0,0.0565885206143897,0.0100373942596697,0.0196922147100189,0.12462686371925,0.353025301811711,6.23846140487267
A16,1237,1204,0,0,15,15,61,0,0.0493128536782538,0.0149121481686488,0.0292559219980575,0.27507436563562,0.524475324143682,10.6356717371432
A17,1237,1200,0,0,9,9,57,0,0.0460792239288602,0.0116180398841954,0.0227932598830355,0.166968838378685,0.408618206127291,8.86773194700805
A18,1237,1206,0,0,8,8,45,0,0.0363783346806791,0.00868638627866743,0.0170416922189634,0.0933357402422083,0.305508985534318,8.39810255791004
A19,1237,1217,0,0,8,8,36,0,0.0291026677445432,0.00867091152560822,0.0170113325307871,0.0930034821692528,0.304964722827498,10.4789267260449
A20,1237,1225,0,0,1,1,12,0,0.00970088924818108,0.00278791630846809,0.00546957159593764,0.00961455447331863,0.0980538345671327,10.1077161132953
A21,1237,1220,0,0,3,3,23,0,0.0185933710590137,0.00489082769867409,0.00959524221729307,0.0295892819301316,0.172015353762772,9.25143446106735
I97,1237,1237,0,0,0,0,0,0,0,0,0,0,0,
I98,1237,1234,0,0,11,11,20,0,0.0161681487469685,0.010409660125127,0.0204225575820978,0.134042586589855,0.36611826858251,22.6444149118282
I99,1237,1222,0,0,12,12,81,0,0.0654810024252223,0.019572308756509,0.0383986218368034,0.473864109064366,0.688377882463089,10.5126350692203
I00,1237,1214,0,0,12,12,140,0,0.113177041228779,0.0283190473387204,0.0555587183436613,0.992034962967614,0.996009519516562,8.80045554029991
I01,1237,1205,0,0,12,12,170,0,0.137429264349232,0.0293007164607214,0.0574846404131282,1.06200406558303,1.0305358147988,7.49866354650659
I02,1237,1191,0,0,12,12,282,0,0.227970897332255,0.0409327651459947,0.080305383954922,2.07258269170898,1.43964672461996,6.31504609345707
I03,1237,1193,0,0,12,12,332,0,0.268391269199677,0.0461112957063247,0.0904650661431724,2.63017321895284,1.62178087883439,6.04259923830764
I04,1237,1180,0,0,12,12,400,0,0.323362974939369,0.0501066588750646,0.0983035097997552,3.10570777510053,1.76230183995266,5.4499184400536
I05,1237,1174,0,0,12,12,498,0,0.402586903799515,0.0558056721970308,0.109484319387194,3.85235576206136,1.96274189899267,4.87532475713642
I06,1237,1156,0,0,12,12,589,0,0.476151980598222,0.0597727844742583,0.117267338039336,4.41953598982819,2.10226924770073,4.41512234194534
I07,1237,1154,0,0,12,12,637,0,0.514955537590946,0.0640942971107404,0.125745649492299,5.08169362666227,2.25426121526816,4.37758418098385
I08,1237,1157,0,0,12,12,639,0,0.516572352465643,0.0637563353163599,0.125082607267739,5.02824455240652,2.24237475735135,4.34087257409017
I09,1237,1150,0,0,12,12,663,0,0.535974130962005,0.0641895152853438,0.125932456614753,5.09680352036585,2.25761013471455,4.21216249870573
I10,1237,1143,0,0,12,12,721,0,0.582861762328213,0.0676865598099497,0.132793256325066,5.6672788587066,2.38060472542306,4.08433848175912
I11,1237,1158,0,0,12,12,601,0,0.485852869846403,0.0617451759896012,0.121136943656843,4.7160213796297,2.17164025096923,4.46974873618792
I12,1237,1170,0,0,12,12,588,0,0.475343573160873,0.0624586887823946,0.122536773807034,4.82564561406263,2.19673521710347,4.62136303326019
I13,1237,1163,0,0,12,12,632,0,0.510913500404204,0.0644511218928174,0.126445698732245,5.13843257908135,2.26681110352878,4.43678059345743
I14,1237,1164,0,0,12,12,632,0,0.510913500404204,0.064125562987478,0.125806989551471,5.08665264380627,2.25536086775626,4.41436929337736
I15,1237,1175,0,0,12,12,529,0,0.427647534357316,0.05964258241123,0.117011896545806,4.40030295657361,2.09768990953706,4.90518415519347
I16,1237,1187,0,0,12,12,460,0,0.371867421180275,0.0568244031390031,0.111482952490774,3.99428882383258,1.99857169594503,5.37441997366087
I17,1237,1184,0,0,12,12,445,0,0.359741309620049,0.0546294854175084,0.107176776014657,3.69167889742644,1.92137422107887,5.34098856511138
I18,1237,1190,0,0,12,12,368,0,0.29749393694422,0.0480263108822463,0.0942221059725946,2.85317332621726,1.68913389825,5.67787671775885
I19,1237,1211,0,0,12,12,212,0,0.171382376717866,0.0369695743523498,0.0725300588031736,1.69066904218108,1.3002572984533,7.58687867069214
I20,1237,1213,0,0,9,9,100,0,0.0808407437348424,0.0185818220445267,0.0364554006685221,0.427116444681647,0.653541463628473,8.08430790508422
I21,1237,1223,0,0,12,12,102,0,0.0824575586095392,0.0250784523940188,0.0492010432550506,0.777984894030604,0.882034519749995,10.6968304012818
NHIN_97,1237,1043,0,0,1,1,194,0,0.156831042845594,0.010343418198877,0.0202925985308965,0.132342053145594,0.36378847307961,2.31962031546123
NHIN_02,1237,765,0,0,1,1,472,0,0.381568310428456,0.0138172871093599,0.0271079303480947,0.236164852328292,0.485967954013731,1.27360669304022
NHIN_03,1237,696,0,0,1,1,541,0,0.437348423605497,0.0141099123956075,0.0276820275507444,0.246273869603096,0.496259881113813,1.13470142872049
NHIN_04,1237,678,0,0,1,1,559,0,0.451899757477769,0.0141560411323755,0.0277725268342474,0.247886760169844,0.497882275412415,1.1017538008679
NHIN_05,1237,687,0,0,1,1,550,0,0.444624090541633,0.0141345106782298,0.0277302865560564,0.247133293043772,0.497125027577341,1.11807938020576
NHIN_06,1237,692,0,0,1,1,545,0,0.440582053354891,0.0141212246899737,0.0277042209730371,0.246668916603224,0.496657745941029,1.12727638849368
NHIN_07,1237,704,0,0,1,1,533,0,0.43088116410671,0.0140854588462711,0.0276340524955162,0.245420986675666,0.495399825066245,1.14973655460965
NHIN_08,1237,686,0,0,1,1,551,0,0.445432497978981,0.014137054175001,0.0277352766045927,0.247222244023933,0.497214484929726,1.11625103059541
NHIN_09,1237,678,0,0,1,1,559,0,0.451899757477769,0.0141560411323755,0.0277725268342474,0.247886760169844,0.497882275412415,1.1017538008679
NHIN_10,1237,698,0,0,1,1,539,0,0.4357316087308,0.0141040279163703,0.0276704828783325,0.246068497487135,0.496052918031065,1.13843684527723
NHIN_11,1237,690,0,0,1,1,547,0,0.442198868229588,0.0141266528707887,0.0277148704403518,0.246858591487391,0.496848660547044,1.12358645904331
NHIN_13,1237,765,0,0,1,1,472,0,0.381568310428456,0.0138172871093599,0.0271079303480947,0.236164852328292,0.485967954013731,1.27360669304022
NHIN_15,1237,853,0,0,1,1,384,0,0.310428455941795,0.0131601607072607,0.0258187238202856,0.214235819513229,0.462856154235016,1.49102360101228
NHIN_17,1237,879,0,0,1,1,358,0,0.289409862570736,0.0128990289020577,0.0253064132103164,0.20581817896414,0.453671884696572,1.56757575801581
NHIN_19,1237,887,0,0,1,1,350,0,0.282942603071948,0.0128119990292404,0.0251356705955135,0.203050233757943,0.450610956100652,1.59258786484716
NHIN_21,1237,937,0,0,1,1,300,0,0.242522231204527,0.0121913412484836,0.0239180113142382,0.183853827377542,0.428781794596671,1.76801026638694
Valid_Insurance,1237,0,0,5,16,11,17280,15,13.9692805173808,0.0783297263367226,0.153673926648222,7.5896704366185,2.75493565017742,0.197213854124391
