row.names.t.stat.desc.G.G.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
I01,103,60,0,0,12,12,240,0,2.33009708737864,0.381463798600834,0.75663163583814,14.9880068532267,3.87143472800805,1.66149073743679
I02,103,67,0,0,12,12,248,0,2.40776699029126,0.41125348570886,0.815719338970981,17.4203312392918,4.17376703222543,1.73345969483556
I03,103,80,0,0,12,12,201,0,1.95145631067961,0.403293749312664,0.799931239569715,16.7525223681706,4.09298453065371,2.09740003312106
I04,103,79,0,0,12,12,203,0,1.97087378640777,0.403312080221816,0.799967598841103,16.7540453074434,4.09317056906298,2.07683038725856
I05,103,77,0,0,12,12,221,0,2.14563106796117,0.407059297230855,0.807400186011338,17.0668189605939,4.13120066815859,1.9254012163816
I06,103,71,0,0,12,12,259,0,2.51456310679612,0.427910706073077,0.848758856584242,18.8600799543118,4.34281935547771,1.7270671568116
I07,103,74,0,0,12,12,257,0,2.49514563106796,0.436501717698929,0.865799087410377,19.6249762040739,4.43000860090292,1.7754509178716
I08,103,75,0,0,12,12,239,0,2.32038834951456,0.429098992773554,0.851115817620451,18.9649723967257,4.35487914834909,1.87678892167346
I09,103,75,0,0,12,12,215,0,2.0873786407767,0.399911182818927,0.793221934967614,16.4726822767942,4.05865523009706,1.94437901720929
I10,103,79,0,0,12,12,181,0,1.75728155339806,0.366985657952031,0.727914312508433,13.871882733676,3.72449764849919,2.11946551268186
I11,103,80,0,0,12,12,202,0,1.96116504854369,0.409045433638285,0.811339678158335,17.2337711783743,4.15135775119108,2.11678142758753
I12,103,82,0,0,12,12,172,0,1.66990291262136,0.372116964819254,0.738092235349801,14.2625166571483,3.77657472548185,2.26155346932925
I13,103,86,0,0,12,12,170,0,1.6504854368932,0.38920047639368,0.771977299557277,15.6021321149819,3.94995343200169,2.39320707938926
I14,103,88,0,0,12,12,142,0,1.37864077669903,0.359557574674594,0.713180744547426,13.3160098991053,3.64911083678001,2.64689025484747
I15,103,82,0,0,12,12,186,0,1.80582524271845,0.399899628666081,0.793199017360227,16.4717304397487,4.0585379682527,2.24746995016144
I16,103,85,0,0,12,12,146,0,1.41747572815534,0.353256928074942,0.700683441891136,12.8534170949933,3.58516625765017,2.52926112697238
I17,103,92,0,0,12,12,110,0,1.06796116504854,0.326290183461012,0.64719503181053,10.9659242337712,3.31148369069986,3.1007529103826
I18,103,94,0,0,12,12,64,0,0.621359223300971,0.21557325100199,0.427588521235432,4.78659813439939,2.1878295487536,3.52103818002533
I19,103,100,0,0,12,12,22,0,0.213592233009709,0.134939746152632,0.267652346685424,1.87549971444889,1.36948885152413,6.41169780486298
I20,103,100,0,0,8,8,14,0,0.135922330097087,0.0915718686974597,0.181632367379154,0.863696935084714,0.92935296582338,6.83738253427201
I21,103,100,0,0,9,9,21,0,0.203883495145631,0.122135344265531,0.242254876253626,1.53645535884257,1.23953836521609,6.07964055320271
NHIN_97,103,80,0,0,1,1,23,0,0.223300970873786,0.0412355318989143,0.0817904820058149,0.175138016371597,0.418494941870983,1.87412952229179
NHIN_02,103,46,0,0,1,1,57,1,0.553398058252427,0.0492242415345894,0.0976360496902119,0.249571673329526,0.499571489708456,0.90273444631528
NHIN_03,103,36,0,0,1,1,67,1,0.650485436893204,0.0472118850609718,0.0936445501662531,0.229583095374072,0.4791483020674,0.736601121088689
NHIN_04,103,36,0,0,1,1,67,1,0.650485436893204,0.0472118850609718,0.0936445501662531,0.229583095374072,0.4791483020674,0.736601121088689
NHIN_05,103,34,0,0,1,1,69,1,0.669902912621359,0.0465614711001235,0.0923544571588075,0.223300970873786,0.472547321306328,0.705396726007998
NHIN_06,103,37,0,0,1,1,66,1,0.640776699029126,0.0475045839904169,0.094225117104994,0.232438606510565,0.482118871763557,0.752397633206764
NHIN_07,103,42,0,0,1,1,61,1,0.592233009708738,0.0486577757041077,0.0965124674013137,0.243860651056539,0.493822489419568,0.83383141656091
NHIN_08,103,36,0,0,1,1,67,1,0.650485436893204,0.0472118850609718,0.0936445501662531,0.229583095374072,0.4791483020674,0.736601121088689
NHIN_09,103,34,0,0,1,1,69,1,0.669902912621359,0.0465614711001235,0.0923544571588075,0.223300970873786,0.472547321306328,0.705396726007998
NHIN_10,103,37,0,0,1,1,66,1,0.640776699029126,0.0475045839904169,0.094225117104994,0.232438606510565,0.482118871763557,0.752397633206764
NHIN_11,103,33,0,0,1,1,70,1,0.679611650485437,0.0462028408228004,0.09164311570416,0.219874357509994,0.468907621509818,0.68996407165016
NHIN_13,103,46,0,0,1,1,57,1,0.553398058252427,0.0492242415345894,0.0976360496902119,0.249571673329526,0.499571489708456,0.90273444631528
NHIN_15,103,53,0,0,1,1,50,0,0.485436893203884,0.0494863732402664,0.0981559866855413,0.25223681705692,0.502231835965145,1.0345975820882
NHIN_17,103,58,0,0,1,1,45,0,0.436893203883495,0.0491114710736578,0.0974123700156482,0.248429468874929,0.498426994528716,1.14084400969906
NHIN_19,103,59,0,0,1,1,44,0,0.427184466019417,0.0489795773778117,0.0971507594953032,0.247096897011232,0.497088419711455,1.16363880068818
NHIN_21,103,65,0,0,1,1,38,0,0.368932038834951,0.0477761518115674,0.0947637705906242,0.235103750237959,0.484874984132982,1.31426640436045
Valid_Insurance,103,0,0,5,16,11,1353,14,13.1359223300971,0.303243630982503,0.601482304243187,9.47154007233962,3.07758672864626,0.234287829305665
